"","ARAP1","SMAP2","CLSTN1","STXBP1","UBQLN2","CALHM2","OLFM1","ATAD1","GABRG2","GPSM1","GRIN2A","ERGIC1","NPNT","KCNA4","FOXJ3","SNAP25","ENO2","PTPRT","SLC8A2","BSCL2","LPAR1","BSN","THY1","FLJ41941","MYH10","AP3B2","ATAD2B","PLK3","BRSK2","TMOD3","RFPL1","SLC25A10","LRRC7","ASNS","AEN","C17orf47","FBXO42","HECW1","GNG3","PACSIN1","TRIM63","ZBTB4","MBNL2","PIN1","VSTM2A","AKT1","SLC39A7","RUNX2","CLEC18C","MIR639","SERP2","BMP3","PRICKLE2","LMO3","OTUD7B","RPRML","ZNF837","NRG3","CRYBA2","ST8SIA3","PNMA3","PPP1R3F","MEF2C","ERMN","PLP1","FOXO6","FRMPD4","PRR20D","FAM26E","SYT3","SH3KBP1","GRIP2","ALAD","CLDND1","BAHD1","SLC35A5","TXN2","MDK","OPCML","RANBP3L","TMEM132B","RD3","S1PR5","CRIP3","TBXA2R","SCN8A","KCNQ3","TNKS2","EOMES","BTD","VTI1A","KLK10","CPSF4L","IPW","EGOT","B4GALT2","FLVCR1","ZNF580","GABARAP","FAM131A","SLC43A1","PRPSAP2","EPX","TPM3","CNTNAP1","CACNA2D1","GLYATL1","CXCR3","UBN1","SNHG12","PAIP2B","RRP1","MAST2","ATXN7L3","BUB1B","TP53BP2","BOLA2B","FOXE3","PIGV","USP20","KIFC3","EXOSC8","TMEM81","ELAVL1","FGF6","SSX3","BLMH","NMI","LTK","DGAT2","THRA","FDXR","LRRC6","PRR3","CAMK2B"
"GSM3895951",0.0936122457267034,0.562853778692373,0.379349615382896,0.365229342445299,0.717427503241938,-0.316715759545385,0.386288639761992,-0.412114428836891,0.110559184613767,0.936668563380046,-0.871546399275382,0.682409726264127,-0.146499908411658,0.282179111361331,0.630911066157481,0.324951798290963,1.26240669017323,0.279973330805095,0.871915336517074,1.53357472440162,0.847079611204833,1.26178536705335,1.74369720933602,0.241412859656671,0.752839851250051,0.5422586324064,-0.0192249788397527,0.813225478065733,1.19540578471384,0.908769083582919,-0.888103771173553,0.668742164338012,1.43860853856141,0.457573484198679,-0.647638677754648,-0.518169935697928,0.13950421831936,0.392924113110219,1.35430614022196,1.13177041403091,0.704255904159906,-0.0746867189033583,-0.124596124244119,1.23696084899103,-1.10852016546779,0.615505364076331,0.273690557241704,1.11728815539077,0.693191082711684,-0.0749042080644395,0.143448440097281,1.11158607118366,0.98313558446716,-0.206275957258678,0.44219469156386,1.56864512483141,-0.419018905817766,1.32555860128092,-0.413650806572138,0.858309329355929,1.48104781573114,0.575628930859086,0.0492091600442354,-0.22068490539734,-0.943568115201942,0.430372222255503,0.0905944448533656,0.205165349665866,1.79695168009191,0.614662984607376,0.386407770584446,-1.21810936856712,-0.593020635467305,0.201650300390531,-0.362293480491545,-0.425549790779228,1.42686285935005,0.362579937170632,0.863106509275376,-0.951255563200607,-1.03639607096873,-0.638181962396429,0.792443202512922,0.817036527923019,-0.157797138993807,0.106924562635374,1.1815616585656,0.973068324488778,-0.890358363665808,0.335384106822376,0.57867393194226,0.747592575547912,-1.68297472545267,0.749489377460676,-0.18641191165012,1.52666676290656,-0.101364019104281,0.0722064466243814,1.14038947926638,0.815201912223423,1.08186522791166,-0.759679579369435,-0.0388795570785229,1.59233773474838,1.13396373461473,-0.943232560797469,0.690176153814153,-0.839643432538838,0.858975312489251,-0.775289816033082,-0.513922716609531,0.946373460822489,0.531880000861912,1.01650481026417,-1.29316492726693,-0.522321747524849,0.292191023727377,0.821523455547998,0.221201049142711,1.30301903300054,1.17065098301653,-0.468733504233716,0.209617383082942,1.55049820039534,0.399777724926368,0.352098181308217,1.00473161113635,-0.291620631075733,-0.650998081145304,0.291172668740695,0.295458387027562,0.220485490167099,1.34808434559278,1.39864314318285,1.44804051624414
"GSM3895952",2.15943696193656,-1.91575232314026,-0.77622839175077,-0.850073161136734,-1.48978635789731,-0.361130959406421,0.405225903831449,-2.41719129622898,-1.13762591952017,1.54167170074815,-0.910960532023805,1.3938306908088,0.867138451635045,0.783310621928961,-2.26371175344268,-1.61050625753825,-0.457034735360004,1.21707459118599,-0.82082556529008,0.647636249281417,1.12752155897567,0.596757569200652,0.223537775795874,3.04245488716174,-1.46408367033287,-0.68788225685593,0.0921427463159014,1.20249206133082,2.06586460300887,0.281728289656201,-0.866263225994472,0.688965341160679,-0.833827538617789,-0.484844519575353,-0.732281139846535,0.717652274455009,1.71614932559575,7.42402365207731,0.620861856480954,0.241004496911966,0.260768659906741,-0.621879579135487,-2.29302820964645,0.257264168572724,-0.44990229531199,1.31954296826409,2.09831469447399,2.69775978668529,0.942723080134177,-0.387774351035528,0.140106747485265,-1.02828436612598,-0.397677819895449,-1.91172776168613,2.02379090201802,-0.266559306066203,0.291538412542806,3.87112618389275,-0.0436501393116917,-1.44632368448322,-0.96446043228699,0.42780000667777,-1.07362678072522,-1.53721607763436,-1.55306636766164,-0.714699611345669,-1.45598202535356,2.94391742241984,-0.364720030617269,2.10212894647621,0.103926124537801,-1.38769328092105,-0.855486686958581,-1.50230227661507,1.0384750328107,-2.92154371346811,1.00075084083308,-0.452909408408196,-0.984573684694647,-0.407624722292773,-1.30594008769914,4.785845347991,-1.72210825801464,0.152641037866383,0.854003388569607,-1.41128299281329,-0.349641850500335,0.254064218689273,0.324582528180367,-1.72236525436181,3.23997479184191,3.86174273273147,-0.0940075391319654,-1.84005385613848,-0.111658784159337,1.83223381280858,1.05181110466289,1.4184553008146,1.50542717009131,-1.31533940138453,3.22359691674961,-1.68541975279932,1.45825736343416,2.6988436267615,-0.947126001066087,-0.84050004626594,1.00429175934218,-0.696391405929866,1.62760042498895,-0.645953857308366,0.554016244735625,0.153874397818374,3.13605602034626,0.30926448788456,0.0431275357525787,-0.268935389067728,-1.16288891363199,4.77209772314901,-0.317543842675534,-0.413098261854098,0.213214425137401,-1.70375833546295,1.51229184351525,-1.29120532701027,-0.450609765740822,2.70235048959793,-1.41398496794011,-1.94084779912035,0.841570601367301,0.337052563404547,0.850691486514269,0.0560742951229796,-2.38903448527218,0.401793277679989,0.68844750164465
"GSM3895953",0.218659062078561,-0.300404052144342,0.365807310913198,0.412942454377312,0.266967592135524,0.340150781757143,0.379186710610773,-1.23229921374316,0.0409901578984179,0.506686951726891,-0.718570860999055,0.640012456760412,0.0384078536776895,0.433689375063836,0.62064669414883,0.182839283947281,1.1512259800455,0.229081464437177,0.505119704628636,1.01585547943594,0.411699427608148,0.501744945644401,1.210201219678,-0.444480273022558,0.357498932626196,0.403203053465053,-0.267077574933705,0.23721111664947,0.999862778077086,1.15803096630255,1.6144071721551,-0.13397784070755,0.821547759577708,2.18805693968367,-0.513316569640961,0.710939485741593,1.86791305768355,0.082653913530881,1.06000601149794,0.833121276366459,-0.16928816943593,0.218823264813446,0.22502726050559,0.524471934883189,-0.914229769261815,0.312444525754354,0.121597694857337,0.741800697713279,-0.328234120050673,-0.28796836017315,-0.00879618641705605,0.224629623686548,0.975866916815155,-1.37183831491748,-0.618008904188892,1.05765412217999,-1.18518502420326,0.816951421821802,-1.16088916878598,0.579959705785441,0.649519955332041,0.66364280064388,0.163203434934501,0.135261244096162,0.630361240093558,1.07090156392223,0.27360371864768,0.533992574824716,0.502886608997041,1.15637514047178,0.300730433619848,0.398137320506877,-0.700713709827237,0.568211816326969,-0.399100742547216,0.535188221937381,0.610066822201345,0.198673500448428,-0.0827042219087132,-1.24902737556055,-0.43286968877559,0.326219323509305,0.153776570510659,0.237926500019959,-1.3614629746966,0.304151403922782,-0.221741570503757,1.05273866812201,-1.39298475323958,0.264396234270461,0.88234279342377,0.633172947549385,-0.155366938716453,-0.207918530014478,0.0622622744208474,0.63728527537335,0.72484591314218,0.819067372783734,1.25656283003824,0.153839546878796,0.998189499084517,-0.138591668569189,-0.717388931245922,1.09492668694179,0.913167373072065,0.111843428543813,0.313599443077869,-0.294845734639212,0.778509475505054,0.403662482789632,1.15449565344449,-0.146921057385061,0.519141930684266,-0.157570904472352,0.583161044267945,-0.485619974485986,-0.318299526830429,0.337626476265044,1.07676137614226,1.19667995950338,-0.592064939454699,-1.20047755148518,0.893030888488198,1.31626294527964,0.0316838174640188,0.828827469850031,0.588891412910345,-0.0935905842152542,0.712710611176396,-0.242100005304923,-0.027336257780797,0.246035484790818,0.562227030537723,1.6805488952664,1.4467167633897
"GSM3895954",-0.520629905221137,1.28396850553623,0.525163145621666,0.911426972206714,0.955266230810375,-0.167821188517995,1.22099671229111,-0.075619196868111,0.739630830998256,0.29410142384582,0.0982477789488419,-0.0601620878882767,0.40665147455204,1.10301141499669,1.32029247966065,0.601547051043645,1.40834381821109,0.899628372408052,0.879900747853828,1.59486282675671,-0.78977063072759,0.91851273698471,1.27031566896868,-0.27565757949527,1.23471606271965,0.655940800321897,-0.180069549938644,-0.436183269078559,0.0561638809279881,0.382034342022196,-0.20386752661784,0.169926625302666,1.92699136590412,0.924569967828973,-0.30428608924992,-0.761350184726508,0.3920553673825,-0.169908395294415,1.44262110188666,1.16204504211583,1.11540861509396,0.982560232510725,-0.521264967589324,1.28522499341159,0.434947824836282,-0.340037896010441,-0.156462449971691,0.192460098350827,-0.0560910976599316,1.3260371241836,1.09877042349167,0.579122580057765,1.10484643852345,1.12700881268689,-0.0459550308998852,1.22584069709886,0.227890062817047,0.564140177510955,-0.223655924285773,1.07359365648563,0.934756666159803,0.72660422035197,0.907279277245013,-1.1364982672918,-1.27719859593025,0.842876012119159,0.601795045307612,0.315719909160143,0.0191837502705958,0.336565415123548,1.14193336699412,-0.209167754334297,-1.01682576452231,-1.24953902990432,-0.0200765469001886,0.739686419722587,0.191515143918937,0.271289233681586,1.21393889926646,-1.33023271892026,0.45159877301173,-0.50895045016982,-0.408222112962342,-0.279611045985623,0.362941430675103,0.533038806140794,1.12964946995683,-0.193200231649083,0.17088992687144,-0.869255036909101,0.164196365621306,0.337386301281204,-1.1272358593656,0.613285551683615,1.05878564067197,0.410993668715865,0.124001954895238,-1.24977788319495,0.91473085515172,1.57163106089434,-0.6358959619227,0.749160694710437,-0.86616326732771,0.454559152526671,1.04095320245611,0.185726419207058,-0.810989464973531,-0.930116202076809,-0.383567185455468,0.240251574169494,-0.496297644874183,0.41647613410977,0.193467835074717,0.51139749604004,-0.21284550456505,-0.787247494444866,-0.11933217916521,-0.134564769447161,-0.0202698001181615,-0.483050647020117,0.620488098703472,-0.184605281949367,-1.17787074020998,1.10092098904081,-0.0239160705417695,-0.974704318378632,-0.476727777134118,-1.0635356394571,-0.126318580909523,-0.215413924295117,0.147571538898025,0.326418543737788,0.501983464639012,1.10976075410829,1.10513572419916
"GSM3895955",-1.14467765475366,0.960570175033904,0.921529553343159,1.24278714701973,0.927703799499852,-0.526228065601205,1.31936889187636,0.629470118314022,1.32386915870566,-0.651488965320926,1.3755959633818,-0.650316799908631,-0.218254054320114,1.18376639909668,0.998925201646943,0.822782472006913,0.86450714432098,0.834813301582028,0.701608059490145,0.903314516997922,-1.38554428665054,0.808315751089699,0.350093031912141,-0.275463975397003,1.43269295165743,0.339859390591783,-0.1463482030797,0.917919833894846,0.00676939613692863,-0.0242156491871903,0.127215528837876,-0.504551715379079,1.69478287144324,1.12419649765693,-0.468505924345854,-0.10181026932003,-0.185926455582731,0.906950261035378,1.24831630699661,0.872598341244093,-0.342456793422861,0.0763629126213425,0.176306410411492,1.24331225687963,1.50372602243935,-1.41277212926568,-0.459077626670325,0.207888711305812,0.841120031401588,0.00915087973721228,1.02401359296583,0.403577237855754,0.478401982864617,1.30854876723166,-0.303872304217044,0.371223054411794,0.0813734279439625,0.710101542151094,-0.343208116429808,0.812881387279569,0.453177854671871,0.4914207696919,1.09838882086852,-1.47311215054645,-0.936868025227629,-0.265869436134425,1.10846532123992,0.676806339000109,-0.1535941324579,0.182197982182744,1.0775401612943,-0.219265056747677,-0.625448208700989,-1.38406213141449,0.84325179969975,1.06330495236594,-0.544771005979232,-0.42066363169456,1.12029637967159,-0.563041251283812,1.03576282923102,-0.0869144912303594,-1.15910693500832,0.264790563084604,-0.737708826238546,1.8877764911697,0.769586096194596,0.682691993607931,-0.37566919485187,0.408819149911218,-0.174889394484094,-0.3642501505498,-0.659858366313609,0.827683939450545,0.179242288845306,-0.424642426510438,0.508135032004663,0.847638718302906,-0.0291291104574867,1.31683734317694,-0.106558930032373,1.04872411250087,0.954513091840259,-0.576330361646138,0.69494862031473,1.82836270925296,-0.336540728183168,0.810235253795895,-0.620372645041983,-0.288008934553798,-0.697650396582052,-0.359869400876046,0.562888912186192,-0.412349828603307,1.36185384706263,-1.28328025466589,0.330901431191674,0.0704963475864851,-0.191691745875758,0.181413832937902,0.874131704794753,0.184155234068655,-1.04859705501295,0.692318970338691,1.33774408864672,-0.116564813305635,0.304474078286064,0.564947570326531,0.0133017824873853,1.17727946840721,-1.09231897245587,0.658114626962513,0.495991862012665,0.148915380120228,-0.0137243631389728
"GSM3895956",-0.509369241662226,-0.44240209824689,0.0803210637999606,0.435178859924406,-0.280026047764209,0.274287001506035,0.411291273699763,-0.283299114053943,0.243363578136997,0.955360674531039,-0.414018859001425,0.129937467365737,-0.305828243248991,-0.508487155525415,0.360153151979246,0.422331110848002,0.221924359556972,0.241114951976518,0.335629903685108,0.621858471421612,0.219548882468671,0.108772025526978,0.474593230133573,-0.854886003736711,0.564652666552679,0.221557513366041,-0.426256527089874,-0.00654180909727731,1.02702492660205,-0.184312323115219,-0.440521701848054,-0.0591145659058577,1.0545268252929,0.0511004872347909,0.717893307067082,-0.713609631080758,0.303709964358207,-0.463744952094513,0.036853610747091,0.201220259029534,-2.16260153272277,-0.733345580657604,-0.68101702351479,-0.0849239453691426,-0.542915298564297,0.45549924584851,0.638068758694453,0.450191744270911,-0.479670469515201,0.3429485008929,-0.140076258377046,-0.138605930159499,-0.308427022589971,-1.04099139889595,0.00026471546315452,0.449672267668341,-0.539344049480831,0.209142116287211,-1.18148096585102,0.299019019396127,0.574889750785649,-0.435295864029221,0.331108356820918,-0.0044853740126516,0.540162535651088,-0.0368804366749039,0.363988638503133,-0.391057320716538,0.592109539125688,-0.622342634910381,-0.67235740678516,-1.05496487172398,-0.759246918361667,0.39858945481208,-1.0141472130389,0.429182056434907,-0.390837235148706,-0.425525549734115,0.242754400741951,-0.159565558074894,-0.500213007879546,-0.295132644682561,0.160276222093431,0.126020958922642,0.208516588863878,-0.333070521623906,0.573688143225936,-0.684989173544014,0.27922513923305,0.23247284823049,-0.534602111039256,-0.273869948968546,-1.16000994235993,-0.0594372305144083,-0.062525195346168,0.0242465333505933,-0.283023066008241,0.617519216109938,0.134976143026563,0.493659039647217,0.339754540591231,0.866190693601474,-0.831900865565902,0.629550759173496,1.00516001864519,-0.511331415915177,-0.871072465260914,-0.119363655894251,0.313145909701269,1.49858766285976,1.93326604171151,-0.309003541134854,-0.25193837462975,-0.296030237900138,-0.872990852775544,0.684684183821586,-0.720441947978271,0.166279476532954,-0.765870931979155,-0.334711827278961,0.0184149155907256,0.432984628452166,0.320657685875554,0.899566548231143,0.455438608875748,-0.113389767971603,-0.345024704249326,0.696004193483383,0.618982965644204,-0.243430685606947,-0.910882198673981,-0.486564187787241,-0.475031954249794,0.404552525763716,0.0652162843481042
"GSM3895957",-0.767900621301433,0.248384772846625,0.569997379945323,0.775162485565063,0.555063464961081,-0.338445136220964,0.552925526067266,-0.0521745591222759,0.781622101084662,-0.128966372167217,0.414776248426219,-0.401263015733253,-0.304038874540519,0.886117755896675,0.551586912113249,0.810757233107139,0.632024679270442,0.875754875490602,0.557554837591938,0.311531817414792,-0.715050352070542,0.624681831876056,0.616782965805323,-0.840850796077223,1.24677448802634,0.176817122382256,-0.824191024107973,0.107295943918179,-0.415173856066809,-0.758721729240119,-0.701258112508058,-0.622531589644669,0.940064938842347,0.471343077250259,-0.525643525334696,0.258341914729466,-0.344888084027706,0.376716250831225,-0.120281469454392,0.97076148111937,-0.44657134877431,0.437900679808759,0.29939309523803,0.495106297936876,0.616694085410231,-1.06129536032524,-0.594550054664251,0.0682634178913411,0.304333973627843,0.136827476668089,1.38097825888465,0.114941759501955,1.75196933000522,0.778005679120575,-0.81384650820911,0.418866481622055,-0.894540153798245,0.0590231361726721,-0.203413651616064,0.647322209494604,0.190326194032736,0.248893982853143,1.16131839443733,-0.735329229111602,-0.158921383544473,1.08888457658141,1.40204010411956,0.12980937102513,0.198258459074213,-0.178786596869151,0.734217488067411,0.822723127490611,-0.778035279199389,0.582392171167148,0.794080825507549,0.694651581188578,-0.157081378960351,-0.492395277446484,0.41610964614231,0.538852568840664,0.878165885420447,-0.707785383921216,-0.375697644163584,-1.63176437124651,0.0179086458885594,0.842282716534705,0.825595445938845,-0.278780559792026,-0.0191810535652888,-0.402700982707424,0.92586272419185,-0.585835231447304,0.169741540202676,0.654966251452485,0.389909122541564,0.00817513661766748,-0.0653228947840851,0.254563237667887,-0.0877033103575312,0.237494846697329,-0.389931440482681,1.30922584286848,-0.0605563728802996,-0.450194025056223,-0.403292341418648,0.947615862839291,-1.33212388801748,-0.266390629928213,0.922259819913731,0.668782840175463,0.531100109742725,-0.752960857284261,0.506795853140248,-0.242238800145216,-0.572637546729016,0.39690517574059,0.814581103598732,-0.471325131872033,-0.333742894690711,1.5316925824152,1.07672110872544,0.0252502803621642,-0.650183647536733,0.721483392518353,0.969478820832496,-0.18440378747642,0.761328250786849,0.407668770909724,-0.195171154778234,0.0851373813864438,-0.781265603724373,0.245299918833887,0.749040064800115,0.176946136441994,0.324788960561678
"GSM3895958",-0.36078416602839,1.19996298508982,0.28181814384703,0.626720397997117,1.03354670269165,-0.256076812087392,0.706545896536886,0.156605937945211,0.860558694113597,0.165590904949812,0.20767724044718,-0.241567816195926,-0.390493023380975,0.555516924382515,1.4831642623877,0.713697942910683,1.02770640229526,0.406029799910783,0.351064701290736,1.34917459307565,0.670164968993932,0.84771341298427,1.09092369031276,-0.326983121240541,0.464148642851422,0.599797170606615,-0.270227144738215,0.0793863080302844,-0.44477273534116,-0.258208698447808,0.385116046033,-0.174238150513789,1.07171282298505,0.603930723126275,-0.615242731489566,-0.132437840954112,-0.690940198599836,0.453289412969313,0.953991369934512,0.898852922337194,0.339881651640349,0.633400084960173,0.194219897678473,1.11219922359418,-0.563923669341675,-0.244056075615381,0.647755503438128,0.069662040129778,0.28595700377439,0.387059515927271,0.75590282123479,-0.0569717914415792,0.851937470681211,0.56940777238648,0.17940098133604,1.28396552790843,0.133405355372954,-0.0859749894615375,0.403663425514634,0.655016293781995,0.724267954501816,0.989340842616791,0.656170427778355,0.43636095229269,0.835611289814523,0.163477354344539,0.878057449260711,-0.307893887769581,-0.713132157083836,0.424957233647444,1.28284750808357,0.580375203806963,-0.720332044435685,1.27937043160336,1.34812906693511,0.873463493718749,-0.417990429974798,-0.366597255828858,0.769776239991964,-1.28859966568466,-0.0849104403671757,0.0989869913842278,1.2258343471494,0.645898015394694,0.460177424949298,0.538030231255182,0.749174690404579,0.0694194139997709,-0.700634346907962,0.263834469232053,1.29982970862908,0.260903451835628,0.246896346129378,0.828521410783404,-1.16436114214173,0.198298328559424,-0.107567082340882,-0.431784949879893,0.498621986537659,1.24773421035079,0.558537808786541,0.146363646486248,-0.316015116095058,0.372701462362548,0.201088318300952,0.202269395292393,0.285181499415968,0.0628218000965571,0.339535316857603,0.835645413098496,-0.21268276039128,0.331513303551231,0.968560157616579,0.294249849555839,0.837452991908384,-1.11857547209443,0.963032255773079,0.0394223695027244,-0.17069833848284,0.688460536252009,0.275815011331008,1.42634858569254,-0.273843545201107,1.15214622473505,0.00747025895558463,-0.0187688667133983,0.821247891301363,-0.809883603831842,0.141834907450699,1.26323810206474,-0.214427526547753,-0.343980617093675,0.635493935994804,0.735308930967782,0.207779118381844
"GSM3895959",-1.20349783299599,0.828833608750094,0.666715181343798,1.07427253518016,1.18795783534452,-0.3566208541207,1.05854767105327,0.756660580359302,1.23683614904523,-0.848694146196984,1.3673316468221,-0.385208930551977,-0.180484685966207,0.646728473385395,1.53451233008724,0.76079676221319,0.953922593356128,1.13967426456299,0.557554837591938,0.950430789016562,0.179096866085776,0.54997740045162,0.126984482669491,0.027003837769379,1.04477295481823,0.215275149508681,-0.74887913793729,1.12132595315158,-0.520096090348898,-0.916551788844797,0.141447570598529,-0.395504402996705,1.71075915963399,0.85648205556749,-1.08400170445046,0.699481892955441,-0.16162085073804,1.69393699940924,1.19075590764886,0.990757067084804,0.667024950865511,0.563655178629825,0.300581846329528,1.07192064528542,0.499279838755228,-1.41032218630563,1.04204378410022,-0.00343142321997829,0.0924965647302881,0.278619924165782,0.741501614343065,0.196132478197978,0.86373366033265,1.07174211635116,0.0617153305089097,1.35637698088719,0.138804849093532,-0.0956335378847528,-0.109652452837612,0.778036815538376,0.375830516326107,0.335482182748557,1.31003304558603,0.155539225660507,0.263322638973224,-0.832013761864878,1.55111337413396,0.342317130823059,-0.339354923877785,-0.386332885568354,0.970590141217766,0.197110670897721,-0.411514653038944,0.803602261815969,0.272123649731757,1.35721562148997,-0.755046310291245,-0.0214798277930775,1.23257847623005,-1.07397606129889,1.30152497880478,-0.547855410017649,-0.48795187357416,0.464663654227512,0.274597862466343,1.81471756320665,0.873713542829657,0.498215024952692,-0.255210906981392,0.0449783260717244,-0.0487417041656871,-0.164029346143536,0.155701502157907,1.15560176792016,-0.428172029637198,-0.609760000060467,0.17722695228492,1.25051261263245,-0.858503928699873,1.37712909386487,0.296463630237293,1.18167830043207,0.529168465846384,-0.843115766145822,1.13660804437024,1.58180839990378,-0.724608356496208,0.415496057313024,-0.933225191521278,0.554629618658023,0.503093162582909,-0.258934816553206,-0.497087125319514,-0.0168451147681243,0.233190138185091,-1.2086781814642,0.99546857965016,-0.559927515054602,0.0872962491420158,0.188382528868983,1.30369556480846,1.2534606187176,-0.625173311600349,0.534412712246765,1.0391218346368,-0.141982492666119,-0.108866132111396,-0.614255211809135,1.42778761783755,1.17798950508956,-1.51588980584992,0.388584716953209,-0.119330469526501,0.128116749921751,-0.0354611773362777
"GSM3895960",-0.859765497550212,1.01154656980694,1.08480153253829,1.11474422209358,1.18518829641089,-0.890606064892846,1.45242032137383,0.463676621235917,1.299358330547,-0.697518074284873,1.42560997118597,-0.661857273434201,0.0116183093665606,1.43547101285719,1.44472040132886,0.725997926682743,1.1325857950426,1.07986827647994,0.497259182842478,0.548954948685857,-0.60103378830937,0.383585512452563,-0.180018466907577,-0.0591252015448802,0.883719880542377,0.15133398313783,-0.472675669609692,0.00835907126618408,-0.300383170441595,-0.26741373123647,0.01807824953422,-0.47079070944372,1.89844472927792,0.729804421276414,-0.962827490781937,-0.411524453631852,-0.375007278307909,1.62657948181614,0.951578797940286,0.732907330082587,-0.272909007488793,0.616446229926147,0.561088086030347,1.57662998608309,1.92679981133069,-1.16814169077557,0.0821176607635506,-0.141332348022984,0.206093445885671,-0.117016564067543,1.54173501291729,0.0103720997992839,1.05170367947492,1.48337722206874,-0.420564407844954,0.316632255607561,-0.202285224454734,0.084992253197953,-0.707471118410849,0.952107472337818,0.158013501823886,0.953034713650049,1.67555733744655,-0.730808996149871,-0.456029819351039,0.271903160908384,1.19998204161476,0.236534471558079,0.000906307015392763,0.173298281488679,0.921690107224939,0.232744821965548,-0.60484242982011,-0.17557800341436,-0.042268731866711,0.934932441917869,-1.11430373112391,-0.117958076068954,0.88627718568831,-0.0889802107587178,1.47617524887181,-1.29942624328172,-0.673428295158768,1.35632961638022,0.567194729353767,1.72868144245135,0.269678319856719,0.475571331943454,-0.0914872396012497,0.00983072519863439,-0.0721615626005095,-0.302618669278269,-0.214343921594184,1.10878995803927,0.457191487062035,-0.850590464770885,0.463735065605701,-0.850864082683043,-0.26336851401496,0.891985888437732,0.164498424404118,1.45033099334011,-0.237893858684502,-0.82131152237901,0.910882358954704,2.31063282335686,-0.448164489872585,0.0930428843417289,-0.209722833872561,0.755348292860769,-0.0183973551292206,-0.16205178860306,-0.639768130646336,-0.0922406598975194,0.259402741811746,-1.32017659074429,0.185821446865392,-0.074107379742983,0.223323495380847,0.440897223764514,-0.243689811452183,0.773650470136724,0.0995104040362985,0.631417814758044,0.323604930561222,-0.181856159770041,-0.445869887715482,-0.38164981900749,0.559878923368983,0.712206955125552,-1.21803912321554,1.19033254057557,0.275090393727273,0.10650849454485,0.101739888222814
